Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode
COLGATE CHARCOL 35g,PERSONAL CARE,,,PIECES,5,COLGATE,,,1250,Tax 18%,18,,1500,12,
WHITEDENT 250g,PERSONAL CARE,,,PIECES,5,WHITEDENT,,,4166.67,Tax 18%,18,,4500,6,
WHITEDENT 70g,PERSONAL CARE,,,PIECES,5,WHITEDENT,,,1500,Tax 18%,18,,2000,23,
WHITEDENT 80g,PERSONAL CARE,,,PIECES,5,WHITEDENT,,,1666.67,Tax 18%,18,,2000,24,
WHITEDENT 20g,PERSONAL CARE,,,PIECES,5,WHITEDENT,,,500,Tax 18%,18,,700,34,
WHITEDENT CHARCOL 70g,PERSONAL CARE,,,PIECES,5,WHITEDENT,,,2083.33,Tax 18%,18,,2500,10,
TOILET PAPER ,PERSONAL CARE,,,PIECES,5,TOILET PAPER ,,,800,Tax 18%,18,,1000,18,
SABUNI DOVE SHOWER 1200ml,PERSONAL CARE,,,PIECES,5,DOVE,,,10000,Tax 18%,18,,11500,5,
DETOL SHOWER 1200ml,PERSONAL CARE ,,,PIECES,5,DETTOL,,,10000,Tax 18%,18,,11500,2,
OMO BLEACH LEMON,PERSONAL CARE,,,PIECES,5,OMO,,,4750,Tax 18%,18,,6000,3,
JIK 750 ml,PERSONAL CARE ,,,PIECES,5,JIK,,,4666.67,Tax 18%,18,,6000,6,
UNGA LISHE DESTENI angels 3kg,FOOD & BEVARAGES,,,PIECES,5,DESTENI,,,17500,Tax 18%,18,,21000,1,
UNGA LISHE DESTENI wonders 1kg,FOOD & BEVARAGES,,,PIECES,5,DESTENI,,,12000,Tax 18%,18,,13000,4,
UNGA LISHE DESTENI miracles 1kg,FOOD & BEVARAGES,,,PIECES,5,DESTENI,,,9000,Tax 18%,18,,11000,3,
UNGA LISHE DESTENI familia 1kg,FOOD & BEVARAGES,,,PIECES,5,DESTENI,,,6000,Tax 18%,18,,8000,3,
SABUNI COVEX 115g,PERSONAL CARE,,,PIECES,5,COVEX,,,1083.33,Tax 18%,18,,1500,12,
MSWAKI COLGATE,PERSONAL CARE,,,PIECES,5,COLGATE,,,1333.33,Tax 18%,18,,1500,4,
MSWAKI FRESH DOCTOR,PERSONAL CARE ,,,PIECES,5,FRESH DOCTOR,,,1000,Tax 18%,18,,1500,6,
MSWAKI WHITEDENT,PERSONAL CARE,,,PIECES,5,WHITEDENT,,,375,Tax 18%,18,,500,31,
TOOTH PICK DENTAL FLOSS,PERSONAL CARE,,,PIECES,5,DENTAL FLOSS,,,1000,Tax 18%,18,,1500,12,
PAMBA NDOGO,PERSONAL CARE,,,PIECES,5,,,,583.33,Tax 18%,18,,700,10,
PAMBA KUBWA,PERSONAL CARE,,,PIECES,5,,,,1083.33,Tax 18%,18,,1500,8,
TOOTH PICK ndogo,PERSONAL CARE,,,PIECES,5,,,,250,Tax 18%,18,,500,39,
TOOTH PICK kubwa,PERSONAL CARE,,,PIECES,5,,,,750,Tax 18%,18,,1000,35,
WHITEDENT 190g,PERSONAL CARE,,,PIECES,5,,,,3333.33,Tax 18%,18,,4000,6,
VIM ALL PURPOSE CLEANER,SOAP,,,PIECES,5,VIM,,,2250,Tax 18%,18,,3000,5,
